,symbol,peer
0,CMCSA,NFLX
1,CMCSA,TMUS
2,CMCSA,CHTR
3,CMCSA,ABNB
4,CMCSA,ZM
5,CMCSA,ATVI
6,CMCSA,NTES
7,CMCSA,BIDU
8,CMCSA,VOD
9,CMCSA,ROKU
10,KMI,CNQ
11,KMI,PXD
12,KMI,MPC
13,KMI,PSX
14,KMI,E
15,KMI,SLB
16,KMI,SU
17,KMI,VLO
18,KMI,EOG
19,KMI,TRP
20,INTC,ADBE
21,INTC,CSCO
22,INTC,ASML
23,INTC,AVGO
24,INTC,TXN
25,INTC,QCOM
26,INTC,AMAT
27,INTC,INTU
28,INTC,NVDA
29,INTC,MU
30,MU,AMD
31,MU,LRCX
32,MU,INTU
33,MU,FISV
34,MU,AMAT
35,MU,ADSK
36,MU,ADI
37,MU,WDAY
38,MU,TEAM
39,MU,NXPI
40,GE,MMM
41,GE,DE
42,GE,LMT
43,GE,RTX
44,GE,CAT
45,GE,BA
46,GE,FDX
47,GE,UNP
48,GE,CNI
49,GE,ITW
50,BAC,MA
51,BAC,JPM
52,BAC,V
53,BAC,WFC
54,BAC,MS
55,BAC,RY
56,BAC,SCHW
57,BAC,BLK
58,BAC,TD
59,AAPL,MSFT
60,AAPL,NVDA
61,AAPL,ASML
62,AAPL,ADBE
63,AAPL,INTC
64,AAPL,CSCO
65,AAPL,AVGO
66,AAPL,TXN
67,AAPL,QCOM
68,AAPL,AMAT
69,MSFT,AAPL
70,MSFT,NVDA
71,MSFT,ASML
72,MSFT,ADBE
73,MSFT,INTC
74,MSFT,CSCO
75,MSFT,AVGO
76,MSFT,TXN
77,MSFT,QCOM
78,MSFT,AMAT
79,SIRI,DISH
80,SIRI,VIACA
81,SIRI,VIAC
82,SIRI,YNDX
83,SIRI,FOX
84,SIRI,FOXA
85,SIRI,ZG
86,SIRI,Z
87,SIRI,TTWO
88,HPQ,TEL
89,HPQ,APH
90,HPQ,GLW
91,HPQ,WIT
92,HPQ,PLTR
93,HPQ,PATH
94,HPQ,MSI
95,HPQ,STM
96,HPQ,PANW
97,HPQ,SNOW
98,CX,RPM
99,CX,ACH
100,CX,SID
101,CX,WLK
102,CX,CF
103,CX,SMG
104,CX,TECK
105,CX,SBSW
106,CX,MOS
107,CX,RS
108,CZR,TSCO
109,CZR,ETSY
110,CZR,OZON
111,CZR,PTON
112,CZR,DKNG
113,CZR,EXPE
114,CZR,ULTA
115,CZR,POOL
116,CZR,LI
117,CZR,LKQ
118,F,RACE
119,F,LVS
120,F,CVNA
121,F,HMC
122,F,APTV
123,F,CMG
124,F,DHI
125,F,STLA
126,F,YUM
127,F,VFC
128,AMD,MU
129,AMD,LRCX
130,AMD,INTU
131,AMD,FISV
132,AMD,AMAT
133,AMD,ADSK
134,AMD,ADI
135,AMD,WDAY
136,AMD,TEAM
137,AMD,NXPI
138,SNAP,TWLO
139,SNAP,RELX
140,SNAP,AMX
141,SNAP,AMOV
142,SNAP,SPOT
143,SNAP,BCE
144,SNAP,TWTR
145,SNAP,SE
146,SNAP,DASH
147,SNAP,PINS
148,FB,CMCSA
149,FB,NFLX
150,FB,GOOG
151,FB,GOOGL
152,FB,TMUS
153,FB,CHTR
154,FB,ABNB
155,FB,ZM
156,FB,ATVI
157,FB,NTES
158,WFC,MS
159,WFC,C
160,WFC,RY
161,WFC,SCHW
162,WFC,BLK
163,WFC,TD
164,WFC,HSBC
165,WFC,AXP
166,WFC,GS
167,WFC,LFC
168,AIG,BK
169,AIG,BCS
170,AIG,LYG
171,AIG,PRU
172,AIG,BBDO
173,AIG,BBD
174,AIG,MFC
175,AIG,TRV
176,AIG,CM
177,AIG,ITUB
178,T,VZ
179,T,SE
180,T,SNAP
181,T,TWLO
182,T,RELX
183,T,AMX
184,T,AMOV
185,T,SPOT
186,T,BCE
187,T,TWTR
188,C,MS
189,C,RY
190,C,SCHW
191,C,BLK
192,C,TD
193,C,HSBC
194,C,AXP
195,C,GS
196,C,LFC
197,C,WFC
198,VALE,CTA-PB
199,VALE,RIO
200,VALE,SHW
201,VALE,LIN
202,VALE,ECL
203,VALE,FCX
204,VALE,APD
205,VALE,BBL
206,VALE,SCCO
